"City","Population","Violentcrime","Murder","Raperevised","Rapelegacy","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
Adams Village,1851,0,0,,0,0,0,11,1,10,0,0
Addison Town and Village,2568,2,0,,0,1,1,49,1,47,1,0
Afton Village4,820,0,0,0,,0,0,1,0,1,0,0
Akron Village,2842,1,0,,0,0,1,17,0,17,0,0
Albany4,98595,802,8,54,,237,503,3888,683,3083,122,12
Albion Village4,5872,26,0,3,,2,21,204,41,159,4,0
Alexandria Bay Village4,1107,0,0,0,,0,0,7,2,5,0,0
Alfred Village4,4032,11,1,1,,0,9,30,6,24,0,0
Altamont Village4,1723,1,0,0,,0,1,2,2,0,0,0
Amherst Town4,118860,128,1,16,,43,68,2066,176,1846,44,2
Amity Town and Belmont Village4,2250,0,0,0,,0,0,0,0,0,0,0
Amityville Village,9509,12,0,,0,11,1,198,10,175,13,1
Amsterdam,18099,27,0,,0,15,12,490,107,370,13,3
Angelica Village4,846,1,0,0,,0,1,6,4,2,0,0
Arcade Village,2030,0,0,,0,0,0,25,7,18,0,0
Ardsley Village,4561,1,0,,0,0,1,25,6,19,0,
Asharoken Village,656,0,0,,0,0,0,6,0,4,2,0
Attica Village,2502,0,0,,0,0,0,12,0,12,0,2
Avon Village4,3333,2,0,0,,1,1,14,1,11,2,0
Baldwinsville Village4,7485,2,0,1,,0,1,65,1,60,4,0
Ballston Spa Village4,5470,8,0,0,,2,6,73,21,51,1,0
Batavia4,15223,71,0,17,,12,42,599,115,476,8,3
Bath Village4,5703,14,0,3,,3,8,148,21,126,1,1
Beacon4,14330,43,0,3,,17,23,245,38,201,6,0
Bedford Town4,17782,2,0,1,,0,1,123,12,109,2,1
Bethlehem Town4,34653,34,0,7,,6,21,454,58,385,11,3
Binghamton4,46229,305,1,49,,82,173,2048,343,1653,52,5
Black River,1392,0,0,,0,0,0,3,1,2,0,0
Blooming Grove Town4,11960,8,0,0,,2,6,86,18,59,9,0
Bolton Town,2321,0,0,,0,0,0,9,3,6,0,0
Boonville Village,2053,1,0,,0,0,1,10,0,10,0,0
Brant Town,2063,1,0,,0,0,1,21,9,12,0,0
Brewster,2349,0,0,,0,0,0,9,2,6,1,0
Briarcliff Manor Village,8060,2,0,,0,0,2,17,4,13,0,0
Brighton Town4,36884,26,0,4,,8,14,854,75,754,25,0
Brockport Village4,8405,10,0,1,,1,8,128,23,104,1,1
Bronxville Village,6421,2,0,,0,2,0,25,5,20,0,0
Brownville Village,1162,0,0,,0,0,0,5,1,4,0,0
Buffalo4,258419,3174,60,174,,1277,1663,12449,3119,8362,968,
Cairo Town4,6548,3,0,0,,0,3,55,13,41,1,0
Cambridge Village4,1844,1,0,0,,0,1,32,5,27,0,0
Camden Village,2214,2,0,,0,0,2,35,4,31,0,0
Camillus Town and Village,24307,13,0,,0,3,10,470,35,429,6,0
Canajoharie Village,2168,1,0,,0,0,1,12,2,10,0,0
Canandaigua4,10452,48,0,18,,2,28,301,56,237,8,1
Canastota Village4,4704,8,0,1,,1,6,75,8,64,3,0
Canisteo Village,2236,1,0,,0,0,1,9,2,7,0,2
Canton Village4,6820,1,0,0,,0,1,33,3,30,0,1
Carmel Town4,34463,12,0,0,,2,10,206,42,159,5,1
Carroll Town,3461,4,0,,0,0,4,4,0,4,0,0
Carthage Village4,3710,3,0,1,,0,2,62,14,44,4,0
Cattaraugus Village,975,1,0,,0,0,1,2,1,1,0,0
Cayuga Heights Village4,3787,2,1,0,,1,0,38,15,23,0,0
Cazenovia Village4,2760,2,0,2,,0,0,41,6,35,0,0
Central Square Village,1839,4,0,,0,1,3,40,5,34,1,0
Centre Island Village4,411,0,0,0,,0,0,2,0,2,0,0
Chatham Village,1721,0,0,,0,0,0,9,0,9,0,0
Cheektowaga Town4,78209,202,1,25,,66,110,2699,300,2324,75,8
Chester Town4,7958,3,0,1,,1,1,22,0,20,2,0
Chester Village4,3914,6,0,0,,3,3,108,8,98,2,0
Chittenango Village4,5031,1,0,0,,0,1,42,9,33,0,0
Cicero Town4,29671,19,0,2,,4,13,477,54,417,6,0
Clarkstown Town4,81435,73,1,13,,26,33,1458,83,1348,27,2
Clayton Village4,2027,0,0,0,,0,0,2,0,2,0,0
Clyde Village4,2031,2,0,1,,1,0,38,9,28,1,0
Cobleskill Village,4488,0,0,,0,0,0,151,13,137,1,0
Coeymans Town,7441,20,1,,0,3,16,63,14,44,5,0
Cohoes4,16202,42,0,4,,12,26,225,51,153,21,7
Colonie Town4,78717,72,0,5,,37,30,2010,187,1786,37,9
Cooperstown Village4,1830,0,0,0,,0,0,12,1,9,2,0
Corning4,11041,38,0,2,,4,32,342,48,289,5,0
Cornwall-on-Hudson Village,2964,2,0,,0,0,2,23,3,20,0,0
Cornwall Town4,9527,0,0,0,,0,0,47,9,38,0,0
Coxsackie Village4,2742,2,0,1,,0,1,8,2,5,1,1
Crawford Town4,9240,11,0,0,,0,11,79,18,61,0,2
Croton-on-Hudson Village4,8238,3,0,0,,0,3,43,3,40,0,0
Deerpark Town4,7750,8,0,1,,3,4,126,33,91,2,0
Delhi Village4,3028,5,0,0,,1,4,42,10,30,2,0
Depew Village4,15200,15,0,5,,4,6,251,42,207,2,0
Dewitt Town,22682,20,0,,0,7,13,685,97,577,11,0
Dexter Village,1114,0,0,,0,0,0,9,1,8,0,0
Dobbs Ferry Village,11102,3,0,,0,1,2,96,11,81,4,2
Dolgeville Village4,2173,2,0,0,,0,2,32,7,25,0,0
Dryden Village4,2134,1,0,1,,0,0,80,13,64,3,1
Dunkirk4,12275,44,0,2,,13,29,241,44,194,3,0
Durham Town4,2689,1,0,0,,0,1,4,0,4,0,0
East Aurora-Aurora Town4,13790,8,0,1,,3,4,128,14,111,3,5
Eastchester Town,19965,6,0,,0,2,4,140,25,112,3,0
East Greenbush Town,16454,22,2,,0,7,13,371,41,325,5,0
East Hampton Town4,19728,7,0,1,,0,6,280,36,241,3,0
East Hampton Village,1108,0,0,,0,0,0,61,4,56,1,0
East Rochester Village4,6581,11,0,1,,3,7,75,7,67,1,0
East Syracuse Village,3030,7,0,,0,1,6,206,29,171,6,0
Eden Town4,7696,3,0,2,,0,1,28,6,21,1,0
Ellenville Village,4114,12,0,,0,2,10,115,38,75,2,1
Ellicott Town4,5156,7,0,5,,1,1,270,30,230,10,3
Elmira,28803,80,1,,0,29,50,964,230,712,22,3
Elmira Heights Village,4034,1,0,,0,0,1,77,10,64,3,0
Elmira Town,5894,1,0,,0,1,0,4,2,2,0,0
Elmsford Village4,4808,2,0,0,,2,0,36,6,21,9,0
Endicott Village4,13096,75,0,4,,23,48,611,109,488,14,0
Fairport Village4,5336,4,0,1,,0,3,48,10,36,2,0
Fallsburg Town4,12169,12,0,2,,0,10,105,53,50,2,0
Fishkill Town,21502,7,0,,0,2,5,266,13,250,3,1
Fishkill Village4,2147,0,0,0,,0,0,30,0,28,2,0
Floral Park Village,15915,9,0,,0,4,5,47,8,38,1,0
Florida Village4,2865,0,0,0,,0,0,24,2,22,0,0
Fort Edward Village4,3292,1,0,0,,0,1,8,2,5,1,0
Fort Plain Village4,2268,7,0,1,,1,5,61,13,47,1,0
Frankfort Town4,5010,1,0,0,,0,1,38,8,27,3,0
Frankfort Village4,2556,0,0,0,,0,0,36,10,26,0,0
Franklinville Village,1700,3,0,,0,0,3,21,2,19,0,0
Fredonia Village4,10831,9,0,1,,1,7,236,30,202,4,0
Freeport Village4,43234,150,2,1,,77,70,848,98,687,63,3
Friendship Town4,1950,5,0,1,,0,4,17,5,12,0,0
Fulton City,11707,15,0,,0,7,8,455,72,381,2,1
Garden City Village,22595,12,1,,0,8,3,279,25,246,8,0
Gates Town4,28543,64,1,9,,21,33,1037,106,903,28,0
Geddes Town,10436,4,0,,0,2,2,244,16,221,7,0
Geneseo Village,7914,4,0,,0,1,3,112,8,103,1,0
Geneva,13184,19,0,,0,4,15,350,79,267,4,5
Germantown Town,1915,0,0,,0,0,0,3,1,1,1,0
Glen Cove,27241,6,0,,0,6,0,97,19,72,6,1
Glen Park Village,518,0,0,,0,0,0,2,0,2,0,0
Glens Falls4,14518,25,0,8,,4,13,338,39,293,6,1
Glenville Town4,21819,6,0,2,,1,3,470,33,431,6,2
Gloversville4,15242,39,0,1,,12,26,677,99,562,16,2
Goshen Village,5375,5,0,,0,1,4,51,3,47,1,0
Gowanda Village,2662,8,0,,0,0,8,78,18,59,1,0
Granville Village,2472,1,0,,0,1,0,21,10,10,1,0
Greece Town4,97144,169,1,34,,48,86,2430,296,2073,61,0
Greenburgh Town4,45133,61,0,7,,20,34,602,68,511,23,0
Greene Village,1540,0,0,,0,0,0,16,2,13,1,0
Green Island Village4,2620,3,0,0,,0,3,46,6,37,3,0
Greenport Town4,4049,1,0,0,,0,1,169,5,162,2,0
Greenwich Village,1756,0,0,,0,0,0,20,3,17,0,0
Greenwood Lake Village4,3105,3,0,1,,0,2,36,6,27,3,0
Groton Village4,2417,3,0,0,,1,2,49,11,38,0,0
Guilderland Town4,33958,25,4,5,,4,12,669,62,602,5,1
Hamburg Town4,45656,51,0,4,,11,36,1042,124,894,24,3
Hamburg Village4,9546,6,0,1,,2,3,129,21,107,1,1
Hamilton Village4,4163,0,0,0,,0,0,26,7,19,0,0
Hammondsport Village,650,0,0,,0,0,0,10,4,6,0,0
Harriman Village4,2486,1,0,0,,0,1,29,5,23,1,1
Harrison Town4,28130,5,0,0,,0,5,129,17,111,1,0
Hastings-on-Hudson Village,7970,1,0,,0,0,1,55,3,50,2,1
Haverstraw Town,37422,46,1,,0,19,26,268,55,204,9,0
Hempstead Village,55722,477,8,,0,248,221,965,201,607,157,3
Herkimer Village,7646,55,0,,0,8,47,390,32,358,0,2
Highlands Town4,8400,2,0,0,,0,2,19,3,16,0,0
Holley Village4,1769,3,0,1,,0,2,35,10,24,1,0
Homer Village,3240,1,0,,0,0,1,57,14,41,2,0
Hoosick Falls Village4,3436,3,0,0,,1,2,35,3,31,1,0
Hornell4,8453,5,0,0,,0,5,116,13,101,2,0
Hudson4,6632,27,0,6,,4,17,167,17,148,2,0
Hudson Falls Village4,7305,7,0,4,,1,2,110,16,91,3,1
Huntington Bay Village,1429,0,0,,0,0,0,13,2,11,0,0
Hyde Park Town,21326,14,0,,0,4,10,137,25,107,5,0
Ilion Village4,7969,13,0,2,,0,11,130,18,109,3,0
Independence Town,1188,0,0,,0,0,0,9,3,6,0,0
Inlet Town4,328,0,0,0,,0,0,15,0,14,1,0
Interlaken Village,606,0,0,,0,0,0,3,0,3,0,0
Irondequoit Town4,51390,74,0,9,,33,32,1414,254,1125,35,3
Irvington Village,6581,1,0,,0,0,1,18,5,13,0,0
Jamestown4,30646,221,1,43,,45,132,1285,354,882,49,15
Johnson City Village4,14824,44,1,3,,8,32,1090,132,950,8,1
Johnstown,8439,11,0,,0,4,7,286,26,255,5,2
Jordan Village,1346,0,0,,0,0,0,6,0,5,1,0
Kenmore Village4,15216,16,0,0,,2,14,315,46,260,9,0
Kensington Village,1178,0,0,,0,0,0,0,0,0,0,0
Kent Town4,13401,2,0,1,,1,0,80,19,61,0,0
Kings Point Village,5065,0,0,,0,0,0,10,0,7,3,0
Kingston4,23702,67,2,5,,25,35,672,87,578,7,1
Kirkland Town4,8347,2,0,0,,0,2,67,19,45,3,0
Lackawanna4,17931,77,1,3,,10,63,412,86,299,27,7
Lake Placid Village,2460,2,0,,0,0,2,29,6,22,1,0
Lake Success Village4,3053,2,0,0,,0,2,28,11,17,0,1
Lakewood-Busti4,7265,11,0,9,,1,1,414,31,382,1,0
Lancaster Town4,36760,15,0,3,,2,10,431,35,392,4,2
Larchmont Village4,5971,0,0,0,,0,0,99,7,91,1,0
Le Roy Village4,4325,6,0,0,,1,5,82,18,63,1,0
Lewisboro Town4,12712,0,0,0,,0,0,5,0,5,0,0
Lewiston Town and Village4,16145,6,0,0,,2,4,126,20,99,7,1
Liberty Village4,4251,20,0,6,,3,11,215,39,170,6,0
Little Falls4,4875,9,0,3,,0,6,122,15,105,2,0
Liverpool Village4,2307,4,0,1,,1,2,44,5,38,1,0
Lloyd Harbor Village,3680,0,0,,0,0,0,14,0,13,1,0
Lloyd Town,10669,5,0,,0,0,5,115,12,100,3,0
Long Beach4,33613,40,1,0,,12,27,264,31,226,7,1
Lowville Village4,3438,6,0,1,,0,5,47,5,42,0,0
Lynbrook Village4,19506,15,0,1,,4,10,165,13,142,10,0
Lyons Village4,3517,14,0,2,,5,7,157,31,124,2,1
Macedon Town and Village4,9081,2,0,1,,0,1,41,8,33,0,0
Malone Village4,5853,3,0,2,,1,0,186,33,152,1,1
Malverne Village,8549,1,0,,0,0,1,7,0,7,0,0
Mamaroneck Town,12226,1,0,,0,1,0,117,20,95,2,0
Mamaroneck Village,19309,20,0,,0,1,19,172,28,141,3,0
Manchester Village,1671,0,0,,0,0,0,1,1,0,0,0
Manlius Town4,24577,15,0,1,,4,10,376,59,311,6,1
Marcellus Village4,1783,1,0,1,,0,0,11,3,8,0,0
Marlborough Town,8738,8,0,,0,0,8,93,25,66,2,0
Massena Village4,10785,22,0,4,,6,12,332,44,284,4,0
Maybrook Village4,3157,0,0,0,,0,0,12,2,9,1,0
Mechanicville4,5192,7,0,1,,0,6,61,16,44,1,1
Medina Village4,5913,11,0,0,,4,7,151,39,108,4,0
Menands Village4,4005,5,0,1,,2,2,118,9,106,3,0
Middleport Village,1798,0,0,,0,0,0,32,3,25,4,0
Middletown,27700,122,1,,0,45,76,828,162,644,22,2
Monroe Village4,8627,7,0,1,,3,3,168,15,149,4,1
Montgomery Town4,8959,5,0,0,,0,5,56,13,42,1,0
Montgomery Village,4481,1,0,,0,0,1,22,0,22,0,0
Monticello Village4,6693,59,2,6,,18,33,290,118,172,0,0
Moravia Village,1261,2,0,,0,0,2,28,4,24,0,0
Moriah Town,3572,6,0,,0,0,6,6,0,6,0,0
Mount Hope Town4,7173,0,0,0,,0,0,19,3,15,1,0
Mount Kisco Village4,11112,26,0,0,,8,18,117,23,91,3,0
Mount Morris Village4,2891,2,0,2,,0,0,80,12,67,1,2
Mount Pleasant Town,26931,9,0,,0,2,7,205,35,169,1,1
Mount Vernon4,68442,490,6,29,,195,260,1031,251,695,85,0
Nassau Village4,1119,0,0,0,,0,0,17,0,16,1,0
Newark Village4,8908,34,0,10,,5,19,283,45,228,10,0
Newburgh4,28378,411,1,14,,124,272,866,230,577,59,11
Newburgh Town4,30826,26,1,1,,13,11,1401,75,1317,9,2
New Hartford Town and Village4,20308,25,0,1,,12,12,776,43,729,4,0
New Paltz Town and Village,14074,28,1,,0,0,27,203,31,169,3,0
New Rochelle4,80030,179,1,11,,73,94,1213,145,1020,48,0
New Windsor Town,26307,33,0,,0,6,27,529,82,428,19,1
New York4,8473938,50564,333,2190,,16581,31460,135747,15916,112107,7724,
New York Mills Village,3323,7,0,,0,1,6,38,6,30,2,0
Niagara Falls4,49300,581,3,26,,161,391,2641,650,1858,133,15
Niagara Town4,8162,16,0,0,,7,9,397,35,354,8,0
Niskayuna Town4,22245,7,0,2,,5,0,379,65,308,6,0
Norfolk Town4,4558,1,0,0,,0,1,4,1,3,0,0
North Castle Town,12224,2,0,,0,1,1,63,9,52,2,0
North Greenbush Town4,12152,14,0,2,,4,8,186,14,162,10,0
Northport Village,7406,3,0,,0,1,2,58,11,46,1,0
North Syracuse Village,6941,14,0,,0,3,11,95,15,76,4,0
North Tonawanda4,30986,47,2,2,,15,28,481,116,354,11,18
Northville Village,1084,0,0,,0,0,0,0,0,0,0,0
Norwich4,6985,23,0,7,,4,12,276,40,235,1,0
Nunda Town and Village4,2992,0,0,0,,0,0,8,2,6,0,0
Ocean Beach Village4,79,0,0,0,,0,0,24,3,21,0,0
Ogdensburg4,10990,21,1,1,,2,17,434,72,359,3,5
Ogden Town4,20198,17,0,2,,3,12,244,24,210,10,1
Old Brookville Village,2179,2,0,,0,0,2,50,4,44,2,0
Old Westbury Village,4600,2,0,,0,2,0,44,13,28,3,0
Olive Town4,4353,2,0,0,,0,2,22,10,12,0,0
Oneida4,11231,26,0,5,,2,19,451,66,384,1,3
Oneonta City4,13961,26,0,8,,5,13,248,45,202,1,6
Orangetown Town4,37677,33,0,2,,8,23,307,39,261,7,0
Orchard Park Town4,29507,13,1,1,,4,7,392,71,308,13,3
Oriskany Village,1388,0,0,,0,0,0,9,1,8,0,0
Ossining Village,25455,55,1,,1,28,25,211,47,156,8,1
Oswego City4,18113,50,0,12,,7,31,628,103,518,7,2
Owego Village4,3794,11,0,3,,2,6,145,24,116,5,0
Oxford Village,1432,0,0,,0,0,0,26,3,23,0,0
Oyster Bay Cove Village,4248,0,0,,0,0,0,15,4,9,2,0
Palmyra Village4,3451,0,0,0,,0,0,25,5,20,0,0
Peekskill4,24083,54,0,2,,11,41,189,22,164,3,0
Pelham Manor Village4,5586,4,0,0,,4,0,127,11,116,0,0
Pelham Village4,7017,5,0,0,,3,2,74,8,65,1,0
Penn Yan Village,5087,3,0,,0,1,2,55,4,50,1,0
Perry Village4,3599,7,0,2,,0,5,60,12,45,3,0
Phelps Village,1961,0,0,,0,0,0,14,3,11,0,0
Piermont Village,2565,2,0,,0,0,2,25,1,23,1,0
Plattekill Town4,10274,4,0,0,,1,3,78,21,55,2,0
Pleasantville Village,7151,1,1,,0,0,0,7,1,6,0,0
Port Byron Village,1263,0,0,,0,0,0,3,0,3,0,0
Port Chester Village,29513,65,0,,0,34,31,502,53,436,13,0
Port Dickinson Village,1599,0,0,,0,0,0,29,5,23,1,
Port Jervis,8627,23,1,,0,7,15,293,59,232,2,0
Portville Village,992,0,0,,0,0,0,4,0,4,0,0
Port Washington,19094,5,0,,0,4,1,115,15,95,5,1
Potsdam Village4,9775,3,0,0,,0,3,157,11,143,3,0
Poughkeepsie4,30554,272,3,27,,95,147,668,165,497,6,4
Poughkeepsie Town4,43599,52,0,4,,30,18,1414,99,1303,12,3
Pound Ridge Town4,5234,3,0,0,,0,3,39,5,34,0,0
Pulaski Village,2345,2,0,,0,1,1,26,5,21,0,0
Quogue Village,982,0,0,,0,0,0,29,3,26,0,0
Ramapo Town4,88881,64,0,6,,18,40,643,89,536,18,2
Red Hook Village,1967,0,0,,0,0,0,63,12,51,0,0
Rensselaer City,9575,14,0,,0,1,13,147,29,106,12,0
Rhinebeck Village,2631,2,0,,0,1,1,27,5,22,0,0
Rochester4,210347,1765,27,190,,698,850,8856,2125,6058,673,135
Rockville Centre Village,24127,17,0,,0,10,7,194,8,174,12,0
Rome4,32615,28,2,1,,7,18,625,156,450,19,2
Rosendale Town4,5985,2,0,0,,0,2,41,7,33,1,0
Rotterdam Town,29340,13,1,,0,4,8,901,110,769,22,4
Rouses Point Village,2186,0,0,,0,0,0,21,9,12,0,0
Rye4,16016,4,0,0,,3,1,54,4,49,1,0
Rye Brook Village,9544,2,0,,0,2,0,92,12,78,2,0
Sackets Harbor Village4,1510,0,0,0,,0,0,1,1,0,0,0
Sag Harbor Village,2275,0,0,,0,0,0,57,5,51,1,0
Salamanca4,5653,23,0,2,,1,20,106,35,62,9,2
Sands Point Village,2727,0,0,,0,0,0,9,0,6,3,0
Saranac Lake Village4,5333,8,0,0,,0,8,117,27,88,2,0
Saratoga Springs4,27496,64,0,8,,16,40,590,97,482,11,1
Saugerties Town,19227,11,0,,0,3,8,217,43,168,6,3
Scarsdale Village,17710,1,0,,0,1,0,129,24,102,3,0
Schenectady4,65834,575,5,57,,158,355,2518,642,1752,124,19
Schodack Town4,11667,7,0,1,,0,6,70,19,48,3,0
Schoharie Village,857,0,0,,0,0,0,0,0,0,0,0
Scotia Village4,7808,13,0,0,,3,10,150,22,118,10,0
Seneca Falls Town4,9135,17,0,4,,1,12,314,39,270,5,0
Shandaken Town4,3018,2,0,0,,0,2,67,24,42,1,0
Shawangunk Town4,14156,6,0,1,,3,2,67,20,47,0,0
Shelter Island Town4,2416,1,0,1,,0,0,36,9,26,1,0
Sherrill4,3083,0,0,0,,0,0,21,6,15,0,0
Shortsville Village,1429,0,0,,0,0,0,0,0,0,0,0
Sidney Village4,3763,13,0,3,,0,10,132,14,114,4,0
Skaneateles Village,2453,1,0,,0,0,1,6,0,6,0,0
Sleepy Hollow Village,10051,8,0,,0,4,4,53,10,41,2,0
Sodus Point Village4,879,0,0,0,,0,0,8,1,7,0,0
Sodus Village4,1792,1,0,0,,0,1,24,4,20,0,0
Solvay Village,6467,19,0,,0,6,13,143,26,109,8,0
Southampton Town4,50819,47,0,3,,18,26,778,132,585,61,3
Southampton Village,3158,2,0,,0,0,2,84,6,77,1,0
South Glens Falls Village4,3621,1,0,0,,1,0,97,9,86,2,0
South Nyack Village4,3602,2,0,1,,0,1,11,2,9,0,0
Southold Town4,19991,8,0,0,,2,6,308,61,242,5,0
Spring Valley Village4,32586,131,0,8,,38,85,391,77,303,11,4
Stillwater Town,6604,0,0,,0,0,0,29,5,23,1,0
St. Johnsville Village4,1687,0,0,0,,0,0,54,7,47,0,0
Stockport Town,2744,0,0,,0,0,0,1,1,0,0,0
Stony Point Town4,15408,11,0,2,,1,8,103,17,81,5,0
Suffern Village,10975,5,1,,0,0,4,61,10,50,1,0
Syracuse4,144534,1164,20,70,,406,668,5755,1404,3986,365,57
Tarrytown Village,11531,6,0,,0,3,3,86,20,63,3,1
Ticonderoga Town4,4979,13,0,5,,0,8,56,13,40,3,2
Tonawanda4,14958,21,0,4,,3,14,351,40,298,13,3
Tonawanda Town4,58077,95,1,13,,34,47,1015,148,827,40,0
Troy,49950,350,7,,0,110,233,2182,540,1512,130,13
Trumansburg Village4,1840,0,0,0,,0,0,55,6,46,3,0
Tuckahoe Village,6620,2,0,,0,0,2,45,3,38,4,0
Tupper Lake Village4,3630,13,0,4,,3,6,114,25,85,4,0
Tuxedo Park Village,612,0,0,,0,0,0,0,0,0,0,0
Tuxedo Town4,2987,2,0,0,,1,1,2,0,2,0,0
Ulster Town4,12112,15,0,1,,4,10,390,22,362,6,1
Utica4,61702,402,6,35,,124,237,2366,432,1826,108,6
Vernon Village,1166,1,0,,0,0,1,15,2,13,0,0
Vestal Town4,28019,11,0,4,,1,6,580,38,524,18,0
Walden Village4,6847,9,0,0,,0,9,89,10,75,4,2
Wallkill Town4,28211,43,0,2,,19,22,506,59,430,17,2
Walton Village4,2980,10,0,1,,1,8,75,15,59,1,2
Warsaw Village4,3397,5,0,1,,0,4,75,6,69,0,1
Washingtonville Village,5788,2,0,,0,0,2,59,5,53,1,0
Waterford Town and Village,8398,1,0,,0,1,0,58,14,44,0,0
Waterloo Village4,5185,13,0,2,,1,10,154,22,127,5,0
Watertown4,28009,153,0,47,,17,89,1296,193,1097,6,3
Watervliet4,10235,20,0,2,,10,8,199,32,152,15,0
Watkins Glen Village4,1871,2,0,0,,0,2,103,10,93,0,0
Waverly Village4,4344,4,0,2,,0,2,20,6,13,1,0
Webster Town and Village4,44230,27,1,6,,7,13,496,67,418,11,1
Weedsport Village,1796,2,0,,0,0,2,21,7,14,0,0
Wellsville Village,4576,18,0,,0,0,18,156,40,114,2,1
Westfield Village4,3147,1,0,0,,0,1,9,2,7,0,2
Westhampton Beach Village,1753,2,0,,0,0,2,33,8,23,2,0
West Seneca Town4,44866,38,0,3,,17,18,764,111,631,22,1
Whitehall Village4,2598,13,0,3,,0,10,44,6,37,1,0
White Plains4,58103,105,1,5,,25,74,1046,55,968,23,0
Whitesboro Village,3727,5,0,,0,1,4,41,10,29,2,0
Whitestown Town,9307,0,0,,0,0,0,71,16,55,0,0
Windham Town4,1682,1,0,0,,0,1,18,8,9,1,0
Wolcott Village,1646,0,0,,0,0,0,4,0,4,0,0
Woodbury Town4, 5,10739,4,0,0,0,1,3,,5,,0
Woodstock Town4,5907,3,0,1,,2,0,43,14,29,0,0
Yonkers4,200624,974,3,33,,358,580,2009,414,1395,200,15
Yorktown Town4,36989,13,0,0,,0,13,209,24,182,3,0
Youngstown Village4,1896,0,0,0,,0,0,1,0,1,0,0
